"","Text_ID","Sentence_Number","text"
"124",50,1,"when the new world was first discovered it was found to be like the old well stocked with plants and animals and inhabited by a great many tribes and nations of men and yet the plants and animals if not the men were all essentially different from those known in the old world"
"125",51,1,"american industry may not know it but debate in congress over reforming the federal government's regulatory apparatus may profoundly improve companies' ability to survive"
"126",51,2,"this week the senate seems poised to join the house in a massive overhaul of the way in which bureaucrats enact regulations that are strangling the life out of companies"
"127",52,1,"stress is a risk factor for both depression and anxiety he says"
"128",52,2,"we don't have data on the specific causes of depression and anxiety in this sample but it does make sense scientifically that the millennials who report higher levels of stress in their lives are also reporting higher levels of depression and anxiety"
"129",53,1,"when it comes to having a lasting and fulfilling relationship common wisdom says that feeling close to your romantic partner is paramount"
"130",53,2,"but a new study finds that it's not how close you feel that matters most it's whether you are as close as you want to be even if that's really not close at all"
"131",54,1,"at the time the french crown secured much of its revenue by issuing government bonds"
"132",54,2,"in 1727 in order to save money the state cut the bonds’ interest rate"
"133",54,3,"the market value of these bonds plummeted and the market became wary of french credit"
"134",54,4,"the french state was left without an easy way of raising money"
"135",55,1,"voltaire himself probably won around half a million livres a large fortune which he then made even larger in a series of canny investments"
"136",55,2,"soon voltaire was a very rich man rich enough to become a moneylender to the powerful and famous rich enough that he no longer had to stake his financial well-being on that most unreliable and detestable"
"137",55,NA,"NA"
